date	Absenteesim of door to door garbage collector	Absenteesim of sweepers	Broken Bin	Cleaning of water table	Complaints regarding Bridges/Flyovers/Subways
201003	0	0	0	0	0
201006	0	0	0	0	0
201009	0	0	0	0	0
201010	0	0	0	0	0
201011	0	0	0	0	0
201012	0	0	0	0	0
201101	0	0	0	0	0
201102	0	0	0	0	0
201103	0	0	0	0	0
201104	0	0	0	0	0
201105	0	0	0	0	0
201106	0	0	0	0	0
201107	0	0	0	0	0
201108	0	0	0	0	0
201109	0	0	0	0	0
201110	0	0	0	0	0
201201	0	0	0	0	0
201202	0	0	0	0	0
201203	0	0	0	0	0
201204	0	0	0	0	0
201205	0	0	0	0	0
201206	0	0	0	0	1
201207	0	0	0	0	0
201208	0	0	0	0	0
201209	0	0	0	0	0
201210	0	0	0	0	1
201211	0	0	0	0	0
201212	0	0	0	0	0
201301	0	0	0	0	0
201302	0	0	0	0	0
201303	0	0	0	0	0
201304	0	0	0	0	0
201305	0	0	0	0	0
201306	0	0	0	0	0
201307	0	0	0	0	0
201308	0	0	0	0	0
201309	0	0	0	0	0
201310	1	0	0	0	1
201311	1	0	0	0	0
201312	1	0	0	0	0
201401	0	0	0	0	0
201402	0	1	0	0	0
201403	0	0	0	0	0
201404	0	0	0	0	0
201405	0	1	0	0	0
201406	0	0	0	0	0
201407	0	0	0	0	0
201408	0	0	0	0	0
201409	0	0	0	0	0
201410	0	0	0	0	0
201411	0	0	0	0	0
201412	0	0	0	0	0
201501	0	0	0	0	0
201502	1	0	0	0	0
201503	0	1	0	0	0
201504	0	3	0	0	0
201505	2	1	0	0	0
201506	1	0	0	0	0
201507	3	1	0	0	0
201508	1	0	0	0	0
201509	0	0	0	0	0
201510	0	0	0	0	0
201511	0	0	0	0	0
201512	1	2	0	0	0
201601	0	1	0	0	0
201602	2	0	0	0	0
201603	0	0	0	0	0
201604	2	0	0	0	0
201605	1	0	0	0	0
201606	0	0	0	0	0
201607	0	0	0	1	0
201608	2	0	0	0	1
201609	1	0	0	0	0
201610	1	1	0	0	0
201611	0	1	1	0	0
201612	0	0	0	0	0
201701	0	0	0	0	0
201703	1	2	3	4	5
